Td1-Ts1,Pd1x100,Pd2x25
162.31,260,207.5
164.22,270,212.5
147.15,260,210.0
167.33,270,205.0
173.55,280,207.5
168.2,290,207.5
180.24,290,210.0
147.18,230,195.0
159.43,220,205.0
150.77,230,212.5
157.11,230,212.5
156.04,230,207.5
156.46,230,210.0
154.74,230,210.0
159.23,230,212.5
159.7,240,212.5
161.09,230,212.5
155.45,230,212.5
155.84,240,210.0
157.32,230,212.5
162.0,230,207.5
157.26,230,205.0
156.1,230,212.5
154.36,230,212.5
155.74,230,210.0
155.45,230,212.5
159.54,240,212.5
137.24,240,212.5
161.79,240,207.5
161.18,240,210.0
179.47,300,207.5
171.0,320,210.0
159.0,320,210.0
155.0,320,210.0
168.0,320,205.0
158.0,240,210.0
154.0,240,210.0
153.0,240,210.0
158.0,240,207.5
154.0,240,210.0
154.0,230,210.0
153.0,230,210.0
156.0,230,207.5
154.0,230,212.5
155.0,230,210.0
154.0,230,212.5
153.0,230,210.0
153.0,230,212.5
152.0,230,212.5
152.0,230,210.0
151.0,230,210.0
154.0,230,210.0
153.0,230,210.0
152.0,230,210.0
153.0,230,210.0
153.0,230,210.0
154.0,230,207.5
151.0,230,210.0
152.0,230,210.0
154.0,230,210.0
153.0,230,210.0
153.0,230,213.5
157.0,230,212.5
151.0,230,210.0
160.0,230,210.0
150.0,230,210.0
150.0,230,210.0
150.0,230,210.0
150.0,230,210.0
152.0,230,210.0
152.0,230,210.0
152.0,230,210.0
161.0,230,210.0
152.0,230,210.0
152.0,230,210.0
149.0,230,210.0
148.0,220,210.0
151.0,230,210.0
150.0,220,207.5
79.0,220,207.5
150.0,220,207.5
150.0,220,210.0
152.0,240,210.0
151.0,240,210.0
149.0,230,210.0
151.0,230,210.0
150.0,230,212.5
147.0,220,210.0
149.0,220,210.0
155.0,230,210.0
147.0,220,210.0
146.0,230,210.0
146.0,220,210.0
146.0,220,210.0
145.0,220,210.0
144.0,220,210.0
146.0,220,210.0
148.0,210,210.0
148.0,210,210.0
